"Fecha","positivos nuevos por 100,000 personas en los 7 dias anteriores","Nivel Verde: Bajo","Nivel Anaranjado: Alto","date_uploaded"
2022-12-12,64.401867654162,200,400,2022-12-13
2022-12-11,77.2822411849944,200,400,2022-12-13
2022-12-10,86.9425213331187,200,400,2022-12-13
2022-12-09,99.822894863951,200,400,2022-12-13
2022-12-08,99.822894863951,200,400,2022-12-13
2022-12-07,115.923361777492,200,400,2022-12-13
2022-12-06,112.703268394783,200,400,2022-12-13
2022-12-05,154.564482369989,200,400,2022-12-13
2022-12-04,170.664949283529,200,400,2022-12-13
2022-12-03,164.224762518113,200,400,2022-12-13
2022-12-02,161.004669135405,200,400,2022-12-13
2022-12-01,144.904202221864,200,400,2022-12-13
2022-11-30,138.464015456448,200,400,2022-12-13
2022-11-29,154.564482369989,200,400,2022-12-13
2022-11-28,119.1434551602,200,400,2022-12-13
2022-11-27,112.703268394783,200,400,2022-12-13
2022-11-26,119.1434551602,200,400,2022-12-13
2022-11-25,141.684108839156,200,400,2022-12-13
2022-11-24,154.564482369989,200,400,2022-12-13
2022-11-23,154.564482369989,200,400,2022-12-13
2022-11-22,141.684108839156,200,400,2022-12-13
2022-11-21,141.684108839156,200,400,2022-12-13
2022-11-20,164.224762518113,200,400,2022-12-13
2022-11-19,161.004669135405,200,400,2022-12-13
2022-11-18,128.803735308324,200,400,2022-12-13
2022-11-17,138.464015456448,200,400,2022-12-13
2022-11-16,164.224762518113,200,400,2022-12-13
2022-11-15,177.105136048945,200,400,2022-12-13
