"Fecha","positivos nuevos por 100,000 personas en los 7 dias anteriores","Nivel Verde: Bajo","Nivel Anaranjado: Alto","date_uploaded"
2022-06-08,216.038435494793,200,400,2022-06-09
2022-06-07,196.691709928095,200,400,2022-06-09
2022-06-06,228.936252539258,200,400,2022-06-09
2022-06-05,183.793892883629,200,400,2022-06-09
2022-06-04,206.365072711444,200,400,2022-06-09
2022-06-03,216.038435494793,200,400,2022-06-09
2022-06-02,174.120530100281,200,400,2022-06-09
2022-06-01,183.793892883629,200,400,2022-06-09
2022-05-31,203.140618450327,200,400,2022-06-09
2022-05-30,177.344984361397,200,400,2022-06-09
2022-05-29,199.916164189211,200,400,2022-06-09
2022-05-28,190.242801405862,200,400,2022-06-09
2022-05-27,180.569438622513,200,400,2022-06-09
2022-05-26,183.793892883629,200,400,2022-06-09
2022-05-25,170.896075839164,200,400,2022-06-09
2022-05-24,151.549350272466,200,400,2022-06-09
2022-05-23,148.32489601135,200,400,2022-06-09
2022-05-22,170.896075839164,200,400,2022-06-09
2022-05-21,157.998258794699,200,400,2022-06-09
2022-05-20,167.671621578048,200,400,2022-06-09
2022-05-19,187.018347144746,200,400,2022-06-09
2022-05-18,161.222713055815,200,400,2022-06-09
2022-05-17,177.344984361397,200,400,2022-06-09
2022-05-16,170.896075839164,200,400,2022-06-09
2022-05-15,122.52926192242,200,400,2022-06-09
2022-05-14,148.32489601135,200,400,2022-06-09
2022-05-13,145.100441750234,200,400,2022-06-09
2022-05-12,119.304807661303,200,400,2022-06-09
